gismu,position,oblique
dakli,2,contents [of sack]: bagged
dakli,3,material [of sack]
damba,1,fight
damba,2,opponent [in fight]: rival
damba,3,in contention: fought over
damri,1,drum
damri,2,drumstick
dandu,1,hang
dandu,2,hung from
dandu,3,hung by
danfu,1,answer
danfu,2,question answered
danlu,1,animal
danlu,2,animal species
danmo,1,smoke
danmo,2,smoke source: smokes
danre,1,pressure
danre,2,pressed
dansu,1,dance
dansu,2,accompaniment [for dance]: music for dancing
danti,1,projectile
danti,2,gun: projectile launcher
daplu,1,island
daplu,2,island material
daplu,3,contain island
dapma,1,bless: curse
dapma,2,blessed: cursed
dapma,3,damnation: fate
dargu,1,road
dargu,2,road start
dargu,3,road terminus
dargu,4,road route
darlu,1,argue
darlu,2,argued for
darlu,3,argued against
darno,1,far
darno,2,has afar
darno,3,distance property
darsi,1,dare: audacious
darsi,2,audacious behavior: dared
darxi,1,hit
darxi,2,struck: victim [of hitting]: is hit
darxi,3,hitting tool
darxi,4,hit locus
daski,1,pocket
daski,2,has pocket: pouched
dasni,1,wear
dasni,2,worn
dasni,3,worn as
daspo,1,destroy
daspo,2,ruined: destroyed
dasri,1,ribbon
dasri,2,ribbon material
datka,1,duck
datka,2,duck species
datni,1,data
datni,2,data subject
datni,3,data collection
decti,1,0.1
decti,2,has .1 part: is ten [of]
decti,3,.1's dimension
degji,1,finger
degji,2,limb with finger
degji,3,has finger
dejni,1,debtor: owe
dejni,2,debt: owed
dejni,3,owed: creditor
dejni,4,reason for debt
dekpu,1,gallon
dekpu,2,number of gallons
dekpu,3,gallon standard
dekpu,4,1st subunit of gallon
dekto,1,10
dekto,2,measured in 10's: a tenth
dekto,3,10's dimension
delno,1,candela
delno,2,number of candelas
delno,3,candela standard
dembi,1,bean
dembi,2,leguminous plant
denci,1,tooth
denci,2,has tooth: toothed
denmi,1,dense
denmi,2,density property
denmi,3,density locus
denpa,1,wait
denpa,2,awaited: waited for
denpa,3,waiting state
denpa,4,paused activity
dertu,1,dirt
dertu,2,dirt source
dertu,3,dirt composition
derxi,1,heap
derxi,2,heaped: piled
derxi,3,heap location
desku,1,shake
desku,2,shaker: make to shake
detri,1,date
detri,2,dated
detri,3,date location
detri,4,calendar
dicra,1,interrupt
dicra,2,interrupted
dicra,3,interruption: disruptive
dikca,1,electric charge
dikca,2,charged: electrified
dikca,3,amount of charge
diklo,1,local
diklo,2,locus: domain: area of effect
diklo,3,local range
dikni,1,regular
dikni,2,regularity
dikni,3,regular period
dilcu,1,quotient
dilcu,2,dividend
dilcu,3,divisor: modulus
dilcu,4,remainder in division
dilnu,1,cloud
dilnu,2,cloud material
dilnu,3,cloudy
dilnu,4,cloud base [elevation]
dimna,1,fate
dimna,2,destined: fated: blessed: cursed: has fate
dinju,1,building
dinju,2,building purpose
dinko,1,nail
dinko,2,nail type
dinko,3,nail material
dirba,1,dear
dirba,2,adores: values: holds dear
dirce,1,radiate
dirce,2,radiation: radiated
dirce,3,radiation conditions
dirgo,1,bubble: drop
dirgo,2,drop material
dirgo,3,surround drops
dizlo,1,low
dizlo,2,lowness reference
dizlo,3,lowness standard
djacu,1,water
djedi,1,full day
djedi,2,number of full days
djedi,3,full day standard
djica,1,desire
djica,2,desired: wanted
djica,3,purpose desired for
djine,1,ring
djine,2,ring material
djine,3,ring inside diameter
djine,4,ring outside diameter
djuno,1,know
djuno,2,known
djuno,3,subject known
djuno,4,epistemology
donri,1,daytime
donri,2,day with daytime
donri,3,daytime location
dotco,1,German
dotco,2,German aspect
draci,1,drama
draci,2,subject [of drama]: plot [of drama]
draci,3,dramatist
draci,4,watch drama: audience [of drama]
draci,5,act in drama: dramatic actor
drani,1,correct
drani,2,correctness
drani,3,correctness situation
drani,4,correctness standard
drata,1,other
